idCinema;nom;adresse;nbSalles;nbFauteuils
145;CINEMA RUTEBEUF;16-18  ALLEES LEON-GAMBETTA;1;549
146;M J C THEATRE DE COLOMBES;96, 98 RUE ST DENIS;1;322
147;L'HELIOS (EX-CLUB);27 A 39 RUE DU BOURNARD;4;477
148;LA COUPOLE;RUE JEAN FRANCOIS MILLET;1;236
149;CINEVILLE (EX-ATALANTE);5 RUE ARNOULT CRAPOTTE;3;517
150;PATHE;RUE DE L'HAUTIL;13;3163
151;ARCEL;15 PLACE LEON CASSE;3;380
152;THEATRE DU CORMIER;123 RUE DE SAINT-GERMAIN;1;307
153;HEMISPHERE THEATER;23 RUE MARCEL CLAVIER;4;568
154;CAMILLE ST SAENS;15 BOULEVARD ARISTIDE BRIAND;1;360
155;ABEL GANCE;184 BD ST DENIS;1;139
156;L ETOILE;1 ALLEE DU PROGRES;1;195
157;LA LUCARNE MJC;100 RUE JULIETTE SAVAR;1;92
158;CINEMA DU PALAIS;40 ALLEE PARMENTIER;3;490
159;PATHE DAMMARIE;824 AVENUE DU LYS;10;2181
160;ESPACE ERMITAGE;ALLEE STE THERESE;1;282
161;PARTERRE;SQUARE DE LAC MEGANTIC;2;227
162;ESPACE CULTUREL DU PARC;PLACE MAURICE NILES;1;329
163;ORANGERIE;117 AV HENRI BARBUSSE;3;389
164;L'ORANGE BLEUE;7 RUE JEAN MERMOZ;1;345
165;GRENOUILLE;CENTRE COMMERCIAL DES 7 MARES;3;348
166;FRANCAIS;38 RUE DU GENERAL DE GAULLE;5;1263
167;CENTRE DES ARTS;12-16, RUE DE LA LIBERATION;1;320
168;SALLE SERGE GAINSBOURG ;RUE DU GENERAL JULIEN;1;180
169;MEGA CGR;5 AVENUE DU MARECHAL  JOFFRE;12;2565
170;PIERRE FRESNAY;3 RUE SAINT FLAIVE;1;400
171;LA ROTONDE A;102 RUE SAINT JACQUES;3;400
172;CINETAMPES;PLACE GEOFFROY ST HILAIRE;1;146
173;MEGA CGR;PLACE DE L'AGORA - CE 169;10;2052
174;ERMITAGE;6 RUE DE FRANCE;5;944
175;CINEPARADIS;10 AVENUE MARECHAL DE VILLARS;6;1080
176;LE SCARRON;8 AV. JEANNE ET MAURICE DOLIVET;1;198
177;THEATRE DE FONTENAY;PLACE DU 8 MAI 1945;1;346
178;LE KOSMOS;243TER AVENUE DE LA REPUBLIQUE;1;182
179;CINEMA DE L YSIEUX;PLACE JEAN MOULIN;1;195
180;CINE HENRI LANGLOIS;32 BIS RUE DE LA STATION;2;518
181;M J C;2 AV DU PARC DES SPORTS;1;158
182;THEATRE ANDRE MALRAUX;1 BIS RUE GUILLEMETEAU;1;450
183;CINE GARCHES;86 GRANDE RUE;2;434
184;JACQUES BREL A;PLACE DE L'HOTEL DE VILLE;1;225
185;CINEMA JEAN VIGO;1 RUE PIERRE ET MARIE CURIE;2;290
186;LE CENTRAL;SQUARE DE LA MAIRIE;1;155
187;CINE THEATRE JACQUES PREVERT;PLACE AIME-CESAIRE;1;216
188;THEATRE SARAH BERNHARDT;82 BD PAUL VAILLANT COUTURIER;1;562
189;LA TOURNELLE;14 RUE DISPAN;1;274
190;LE CONTI;PLACE DU PATIS;5;739
191;CINE D ISSY;MAIL RAYMOND MENAND;1;376
193;LE LUXY;77 AV GEORGES GOSNAT;2;507
194;PATHE;5 RUE FRANCOIS MITTERRAND;14;3830
